id,name,brand,price,avg_rating,specs,category_id
203,"Laptop Lenovo Ideapad Slim 3 15IWC11 - 83RR00CVVN (Core 5 320, 8GB, 512GB, WUXGA, Win11)",Lenovo,20290000,3.60,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Wildcat Lake - 320', 'ram': 8, 'vga': 'Card tích hợp - Intel Graphics', 'weight': 1.59, 'battery': 50.0, 'storage': 512, 'material': 'Vỏ nhựa - Nắp lưng bằng nhôm', 'screen_size': 15.3, 'refresh_rate': 60}",2
220,"Laptop Lenovo IdeaPad Slim 3 14IWC11 - 83RQ002PVN (Core 5 320, 8GB, 512GB, WUXGA, Win11)",Lenovo,20290000,4.20,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Wildcat Lake - 320', 'ram': 8, 'vga': 'Card tích hợp - Integrated Graphics', 'weight': 1.39, 'battery': 50.0, 'storage': 512, 'material': 'Vỏ nhựa - Nắp lưng bằng nhôm', 'screen_size': 14.0, 'refresh_rate': 60}",2
173,"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",HP,20390000,4.40,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 7530U', 'ram': 8, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.36, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.0, 'refresh_rate': 60}",2
171,"Laptop Asus Vivobook 16 A1607QA - MB067W (X1 26 100, 16GB, 512GB, WUXGA, Win11)",Asus,20590000,4.80,"{'os': 'Windows 11 Home SL', 'cpu': 'Snapdragon X - X1 26 100', 'ram': 16, 'vga': 'Card tích hợp - Qualcomm Adreno GPU', 'weight': 1.88, 'battery': 50.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 16.0, 'refresh_rate': 60}",2
170,"Laptop MSI Modern 15 F1MG-1264VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",MSI,21090000,3.80,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core thế hệ 12 - 120U', 'ram': 16, 'vga': 'Card tích hợp', 'weight': 1.7, 'battery': 46.8, 'storage': 512, 'material': 'Plastic (nhựa dẻo)', 'screen_size': 15.6}",2
218,"Laptop HP Probook 455 G10 - B8PG7AT (R5 7530U, 16GB, 512GB, Full HD, Win11)",HP,21090000,5.00,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 7530U', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.7, 'battery': 51.0, 'storage': 512, 'material': 'Vỏ kim loại', 'screen_size': 15.6}",2
176,"Laptop Acer Aspire Go 15 AG15-72P-500W - NX.JRRSV.007 (Core 5 120U, 16GB, 512GB, Full HD, Win11)",Acer,21090000,4.20,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core 5 Raptor Lake - 120U', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.53, 'battery': 55.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
280,"Laptop Acer Aspire Lite 16 G2 AL16 52P 76DU - NX.J2SSV.005 (i7 1355U, 16GB, 512GB, Full HD+, Win11)",Acer,21090000,4.70,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core i7 Raptor Lake - 1355U', 'ram': 16, 'vga': 'Card tích hợp - Intel Iris Xe Graphics eligible', 'weight': 1.7, 'battery': 58.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 16.0, 'refresh_rate': 60}",2
291,"Laptop Acer Aspire Lite 16 AI AL16 71P 5674 - NX.D4XSV.001 (Ultra 5 125H, 16GB, 512GB, Full HD+, Win11)",Acer,21090000,4.90,"{'os': 'Windows 11 Home SL', 'cpu': 'Intel Core Ultra 5 Meteor Lake - 125H', 'ram': 16, 'vga': 'Card tích hợp - Intel Arc Graphics', 'weight': 1.6, 'battery': 58.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 16.0, 'refresh_rate': 60}",2
212,"Laptop Acer Aspire Lite 15 AL15-21P-R91W - NX.DNRSV.002 (R5 40, 16GB, 512GB, Full HD, Win11)",Acer,21090000,3.70,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 40', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.45, 'battery': 53.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
172,"Laptop Acer Aspire Lite 14 AL14-44P-R0SP - NX.DMCSV.003 (R7 7730U, 8GB, 512GB, Full HD+, Win11)",Acer,21590000,4.20,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 7 - 7730U', 'ram': 8, 'vga': 'Card tích hợp - AMD Radeon 680M Graphics', 'weight': 1.3, 'battery': 58.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.5, 'refresh_rate': 60}",2
273,"Laptop Asus VivoBook Go 14 E1404FA - EB945W (R5 40, 16GB, 512GB, Full HD, Win11)",Asus,21790000,3.50,"{'os': 'Windows 11 Home', 'cpu': 'AMD Ryzen 5 - 40', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.38, 'battery': 90.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 14.0, 'refresh_rate': 60}",2
221,"Laptop Asus Vivobook Go 15 E1504FA - BQ350W (R5 40, 16GB, 512GB, Full HD, Win11)",Asus,21890000,4.00,"{'os': 'Windows 11 Home', 'cpu': 'AMD Ryzen 5 - 40', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon Graphics', 'weight': 1.63, 'battery': 70.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6, 'refresh_rate': 60}",2
162,"Laptop HP 15 fc0023AU - D0BH1PA (R5 7520U, 16GB, 512GB, Full HD, Win11)",HP,22390000,3.80,"{'os': 'Windows 11 Home SL', 'cpu': 'AMD Ryzen 5 - 7520U', 'ram': 16, 'vga': 'Card tích hợp - AMD Radeon 610M Graphics', 'weight': 1.59, 'battery': 41.0, 'storage': 512, 'material': 'Vỏ nhựa', 'screen_size': 15.6}",2
224,"Laptop Asus Vivobook S16 S3607VA - RP155WS (Core 5 210H, 16GB, 512GB, WUXGA 144Hz, OfficeH24+365, Win11)",Asus,22390000,4.70,"{'os': 'Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic', 'cpu': 'Intel Core 5 Raptor Lake - 210H', 'ram': 16, 'vga': 'Card tích hợp - Intel UHD Graphics', 'weight': 1.7, 'battery': 70.0, 'storage': 512, 'material': 'Vỏ kim loại - Nắp lưng bằng nhựa', 'screen_size': 16.0, 'refresh_rate': 144}",2
